t,kappa,nof,cycle
3820,2.0100502512562812,fdnof,30
3822,2.0,fdnof,30
3823,1.9900497512437811,fdnof,30
3824,1.9900497512437811,fdnof,30
3825,1.9801980198019802,fdnof,30
3827,1.9607843137254901,fdnof,30
3829,1.941747572815534,fdnof,30
3830,1.932367149758454,fdnof,30
3832,1.9138755980861244,fdnof,30
3834,1.8957345971563981,fdnof,30
3835,1.8691588785046729,fdnof,30
3836,1.8604651162790697,fdnof,30
3837,1.834862385321101,fdnof,30
3838,1.8181818181818181,fdnof,30
3839,1.7937219730941705,fdnof,30
3841,1.7699115044247788,fdnof,30
3842,1.7621145374449338,fdnof,30
3843,1.7391304347826086,fdnof,30
3844,1.7167381974248928,fdnof,30
3845,1.7094017094017093,fdnof,30
3846,1.702127659574468,fdnof,30
3847,1.694915254237288,fdnof,30
3848,1.6736401673640167,fdnof,30
3850,1.6736401673640167,fdnof,30
3853,1.6736401673640167,fdnof,30
3854,1.6597510373443984,fdnof,30
3855,1.6597510373443984,fdnof,30
3856,1.6528925619834711,fdnof,30
3857,1.646090534979424,fdnof,30
3858,1.6326530612244898,fdnof,30
3860,1.6260162601626016,fdnof,30
3861,1.6194331983805668,fdnof,30
3862,1.6,fdnof,30
3863,1.593625498007968,fdnof,30
3864,1.5810276679841897,fdnof,30
3865,1.5810276679841897,fdnof,30
3866,1.5748031496062993,fdnof,30
3867,1.5625,fdnof,30
3868,1.550387596899225,fdnof,30
3869,1.5444015444015444,fdnof,30
3870,1.5384615384615385,fdnof,30
3871,1.5325670498084292,fdnof,30
3872,1.520912547528517,fdnof,30
3874,1.509433962264151,fdnof,30
3876,1.5037593984962405,fdnof,30
3877,1.4981273408239701,fdnof,30
3879,1.492537313432836,fdnof,30
3880,1.492537313432836,fdnof,30
3881,1.486988847583643,fdnof,30
3883,1.4814814814814814,fdnof,30
3884,1.4814814814814814,fdnof,30
3885,1.486988847583643,fdnof,30
3886,1.4814814814814814,fdnof,30
3887,1.4760147601476015,fdnof,30
3889,1.4705882352941178,fdnof,30
3890,1.4705882352941178,fdnof,30
3891,1.465201465201465,fdnof,30
3894,1.4545454545454546,fdnof,30
3895,1.4492753623188406,fdnof,30
3898,1.444043321299639,fdnof,30
3900,1.4388489208633093,fdnof,30
3901,1.4336917562724014,fdnof,30
3902,1.4285714285714286,fdnof,30
3903,1.4234875444839858,fdnof,30
3904,1.4234875444839858,fdnof,30
3905,1.4184397163120568,fdnof,30
3906,1.4134275618374559,fdnof,30
3910,1.4134275618374559,fdnof,30
3913,1.408450704225352,fdnof,30
3914,1.408450704225352,fdnof,30
3915,1.408450704225352,fdnof,30
3916,1.4035087719298245,fdnof,30
3917,1.4035087719298245,fdnof,30
3920,1.3986013986013985,fdnof,30
3921,1.3888888888888888,fdnof,30
3922,1.3793103448275863,fdnof,30
3925,1.3793103448275863,fdnof,30
3926,1.36986301369863,fdnof,30
3927,1.3651877133105803,fdnof,30
3928,1.3605442176870748,fdnof,30
3930,1.3559322033898304,fdnof,30
3932,1.3559322033898304,fdnof,30
3933,1.3468013468013469,fdnof,30
3934,1.342281879194631,fdnof,30
3935,1.342281879194631,fdnof,30
3936,1.3377926421404682,fdnof,30
3938,1.3333333333333333,fdnof,30
3940,1.3333333333333333,fdnof,30
3944,1.3333333333333333,fdnof,30
3945,1.3333333333333333,fdnof,30
3946,1.3333333333333333,fdnof,30
3947,1.3333333333333333,fdnof,30
3954,1.3289036544850499,fdnof,30
3955,1.3245033112582782,fdnof,30
3957,1.3201320132013201,fdnof,30
3958,1.3157894736842106,fdnof,30
3962,1.3114754098360655,fdnof,30
3965,1.3071895424836601,fdnof,30
3966,1.3071895424836601,fdnof,30
3973,1.3071895424836601,fdnof,30
3974,1.3071895424836601,fdnof,30
3975,1.3071895424836601,fdnof,30
3976,1.3071895424836601,fdnof,30
3977,1.3071895424836601,fdnof,30
3980,1.3029315960912051,fdnof,30
3983,1.2987012987012987,fdnof,30
3985,1.2987012987012987,fdnof,30
3988,1.2987012987012987,fdnof,30
3994,1.2944983818770226,fdnof,30
4005,1.2944983818770226,fdnof,30
4007,1.2944983818770226,fdnof,30
4009,1.2903225806451613,fdnof,30
4012,1.2861736334405145,fdnof,30
4021,1.2820512820512822,fdnof,30
4025,1.2820512820512822,fdnof,30
4027,1.2779552715654952,fdnof,30
4031,1.2779552715654952,fdnof,30
4034,1.2779552715654952,fdnof,30
4035,1.2779552715654952,fdnof,30
4036,1.2820512820512822,fdnof,30
4037,1.2820512820512822,fdnof,30
4042,1.2779552715654952,fdnof,30
4043,1.2738853503184713,fdnof,30
4045,1.2738853503184713,fdnof,30
4048,1.2698412698412698,fdnof,30
4052,1.2698412698412698,fdnof,30
